quarter,segment,market,holds,trading_revenue,other_income,total_income,fees_commission,operating_expense,total_expense,pbt,tax,pat
2021Q2,Europe Equities,EU,6,40560.471874674906,2500.0,43060.471874674906,15000.0,5000.0,20000.0,23060.471874674906,6082.199456945506,16978.2724177294
2021Q3,Europe Equities,EU,7,2046.6234737717796,2500.0,4546.62347377178,17500.0,5000.0,22500.0,-17953.37652622822,0.0,-17953.37652622822
2021Q4,Europe Equities,EU,7,39161.09259391773,2500.0,41661.09259391773,17500.0,5000.0,22500.0,19161.092593917732,5053.738171645801,14107.354422271932
2022Q1,Europe Equities,EU,6,-68836.9298034204,2500.0,-66336.9298034204,15000.0,5000.0,20000.0,-86336.9298034204,0.0,-86336.9298034204
2022Q2,Europe Equities,EU,6,-117117.34806545706,2500.0,-114617.34806545706,15000.0,5000.0,20000.0,-134617.34806545707,0.0,-134617.34806545707
2022Q3,Europe Equities,EU,7,304.62939923974136,2500.0,2804.6293992397414,17500.0,5000.0,22500.0,-19695.37060076026,0.0,-19695.37060076026
2022Q4,Europe Equities,EU,7,179439.21462048517,2500.0,181939.21462048517,17500.0,5000.0,22500.0,159439.21462048517,42052.092856152965,117387.1217643322
2023Q1,Europe Equities,EU,6,-2122.1765564620882,2500.0,377.82344353791177,15000.0,5000.0,20000.0,-19622.176556462087,0.0,-19622.176556462087
2023Q2,Europe Equities,EU,7,29514.28726839973,2500.0,32014.28726839973,17500.0,5000.0,22500.0,9514.28726839973,2509.393267040429,7004.894001359302
2023Q3,Europe Equities,EU,6,-23045.955323888193,2500.0,-20545.955323888193,15000.0,5000.0,20000.0,-40545.95532388819,0.0,-40545.95532388819
2023Q4,Europe Equities,EU,7,93078.40348208249,2500.0,95578.40348208249,17500.0,5000.0,22500.0,73078.40348208249,19274.428918399255,53803.97456368324
2024Q1,Europe Equities,EU,6,62160.51573051782,2500.0,64660.51573051782,15000.0,5000.0,20000.0,44660.51573051782,11779.211023924076,32881.30470659374
2024Q2,Europe Equities,EU,7,49365.02016897256,2500.0,51865.02016897256,17500.0,5000.0,22500.0,29365.020168972558,7745.024069566512,21619.996099406046
2024Q3,Europe Equities,EU,6,-9481.191749185029,2500.0,-6981.191749185029,15000.0,5000.0,20000.0,-26981.19174918503,0.0,-26981.19174918503
2024Q4,Europe Equities,EU,7,-15080.307701048896,2500.0,-12580.307701048896,17500.0,5000.0,22500.0,-35080.30770104889,0.0,-35080.30770104889
2025Q1,Europe Equities,EU,6,-32084.282202502796,2500.0,-29584.282202502796,15000.0,5000.0,20000.0,-49584.2822025028,0.0,-49584.2822025028
2025Q2,Europe Equities,EU,7,191122.69966246505,2500.0,193622.69966246505,17500.0,5000.0,22500.0,171122.69966246505,45133.61203597515,125989.0876264899
2025Q3,Europe Equities,EU,6,52809.19938089607,2500.0,55309.19938089607,15000.0,5000.0,20000.0,35309.19938089607,9312.801336711338,25996.39804418473
2025Q4,Europe Equities,EU,7,64763.86551593058,2500.0,67263.86551593058,17500.0,5000.0,22500.0,44763.86551593058,11806.469529826689,32957.39598610389
2026Q1,Europe Equities,EU,6,23844.465664312225,2500.0,26344.465664312225,15000.0,5000.0,20000.0,6344.465664312225,1673.3528189623494,4671.112845349876
2026Q2,Europe Equities,EU,7,50991.14618346452,2500.0,53491.14618346452,17500.0,5000.0,22500.0,30991.146183464523,8173.914805888768,22817.231377575758
2026Q3,Europe Equities,EU,1,5762.415165444772,2500.0,8262.415165444772,2500.0,5000.0,7500.0,762.4151654447724,201.0869998860587,561.3281655587136
